ID,dGoffset (kcal/mol),uncertainty (kcal/mol)
mobley_1017962,0.8099999999999996,0.6007495318350236
mobley_1019269,-1.4899999999999998,0.6007495318350236
mobley_1034539,-1.96,0.1077032961426901
mobley_1036761,-0.6399999999999997,0.6007495318350236
mobley_1046331,1.6200000000000006,0.6007495318350236
mobley_1075836,0.7199999999999998,0.6007495318350236
mobley_1079207,-0.87,0.6007495318350236
mobley_1107178,-0.13,0.6003332407921453
mobley_1139153,0.3500000000000001,0.6007495318350236
mobley_1144156,-0.9700000000000001,0.6003332407921453
mobley_1160109,-0.41000000000000014,0.21213203435596423
mobley_1178614,-1.23,0.6013318551349163
mobley_1189457,-1.41,0.6007495318350236
mobley_1199854,-0.09000000000000002,0.6003332407921453
mobley_1231151,-1.08,0.6003332407921453
mobley_1235151,-1.4999999999999998,0.6007495318350236
mobley_1244778,-1.1400000000000006,0.6007495318350236
mobley_1261349,0.0,0.6003332407921453
mobley_1278715,-1.53,0.1044030650891055
mobley_129464,-0.97,0.6007495318350236
mobley_1323538,2.75,0.20396078054371142
mobley_1328465,-1.6099999999999999,0.6007495318350236
mobley_1328936,-0.29000000000000004,0.6007495318350236
mobley_1352110,0.9300000000000002,1.9304144632694813
mobley_1363784,-1.9699999999999998,0.6007495318350236
mobley_1396156,-3.9399999999999995,0.25317977802344327
mobley_1417007,-0.28999999999999915,1.9304144632694813
mobley_1424265,-0.13,0.6007495318350236
mobley_1449384,-0.22000000000000003,0.6007495318350236
mobley_1469079,0.029999999999999805,1.0007996802557444
mobley_1502181,0.06999999999999984,0.6007495318350236
mobley_1520842,-1.5899999999999999,0.6007495318350236
mobley_1527293,5.529999999999999,0.1676305461424021
mobley_1563176,-0.82,0.6003332407921453
mobley_1571523,-1.0099999999999998,0.6007495318350236
mobley_1592519,0.7000000000000002,0.6007495318350236
mobley_1615431,-0.35000000000000003,0.6007495318350236
mobley_1636752,-1.6099999999999994,0.6003332407921453
mobley_1650157,-1.1799999999999997,0.6007495318350236
mobley_1659169,-1.0499999999999998,0.6007495318350236
mobley_1662128,-0.9900000000000002,0.6003332407921453
mobley_1674094,-0.26000000000000006,0.6003332407921453
mobley_1708457,0.4800000000000004,0.6007495318350236
mobley_1717215,1.2500000000000004,0.6003332407921453
mobley_1722522,0.8899999999999997,0.6007495318350236
mobley_1723043,0.3500000000000001,0.042426406871192854
mobley_1728386,-0.5899999999999999,0.20223748416156687
mobley_1733799,-0.019999999999999574,0.8305419917138447
mobley_1735893,1.67,0.6007495318350236
mobley_1743409,2.9699999999999998,0.6020797289396148
mobley_1755375,-0.9500000000000002,0.6007495318350236
mobley_1760914,-0.6699999999999999,0.6007495318350236
mobley_1770205,4.08,1.3713132391981053
mobley_1781152,0.8999999999999999,0.6007495318350236
mobley_1792062,-1.06,0.6003332407921453
mobley_1800170,-0.7399999999999999,0.6003332407921453
mobley_1803862,-0.20999999999999996,0.6003332407921453
mobley_1821184,2.2800000000000002,0.6007495318350236
mobley_1827204,0.04999999999999982,0.6007495318350236
mobley_1838110,0.08000000000000007,0.6007495318350236
mobley_1849020,0.5199999999999996,0.8315046602394961
mobley_1855337,-1.7600000000000002,0.6007495318350236
mobley_1857976,-1.4300000000000002,0.6003332407921453
mobley_1858644,-1.5099999999999998,0.6007495318350236
mobley_186894,-0.9200000000000002,0.2009975124224178
mobley_1873346,-0.10999999999999999,0.20223748416156687
mobley_1875719,-0.3600000000000003,0.20223748416156687
mobley_1881249,-0.3500000000000001,0.6007495318350236
mobley_1893815,-1.3399999999999999,0.1044030650891055
mobley_1893937,-1.26,0.6007495318350236
mobley_1896013,-6.369999999999999,0.2816025568065745
mobley_1899443,-1.0200000000000002,0.6007495318350236
mobley_1903702,-1.4700000000000002,0.6007495318350236
mobley_1905088,-0.5299999999999998,0.20223748416156687
mobley_1922649,3.2800000000000002,0.1077032961426901
mobley_1923244,-0.48999999999999977,0.2009975124224178
mobley_1929982,0.43999999999999995,0.6000833275470999
mobley_194273,4.77,1.9304144632694813
mobley_1944394,-1.4699999999999998,0.6228964600958975
mobley_1952272,-1.9399999999999995,0.6003332407921453
mobley_1963873,-1.7200000000000006,0.6003332407921453
mobley_1967551,-0.1299999999999999,0.6003332407921453
mobley_197466,-1.5700000000000003,0.6007495318350236
mobley_1976156,0.27,0.6007495318350236
mobley_1977493,-1.3,0.6003332407921453
mobley_1987439,-0.35,0.6007495318350236
mobley_2005792,0.43999999999999995,0.20223748416156687
mobley_2008055,-0.6299999999999999,0.6000833275470999
mobley_2023925,1.26,0.6007495318350236
mobley_2043882,0.10000000000000009,0.6007495318350236
mobley_2049967,-1.8900000000000001,0.2009975124224178
mobley_20524,-0.8899999999999997,0.20223748416156687
mobley_2068538,-0.5,0.2009975124224178
mobley_2078467,3.8599999999999994,0.6419501538281613
mobley_2099370,6.459999999999999,0.18973665961010275
mobley_210639,0.02999999999999997,0.6003332407921453
mobley_2123854,-1.7799999999999994,0.6007495318350236
mobley_2126135,-0.8900000000000006,0.1044030650891055
mobley_2143011,-0.6200000000000001,0.6003332407921453
mobley_2146331,0.3999999999999999,0.6000833275470999
mobley_2178600,-1.1800000000000002,0.20223748416156687
mobley_2183616,-0.23,0.6007495318350236
mobley_2197088,-0.16999999999999993,0.6007495318350236
mobley_2198613,-1.4100000000000001,0.6003332407921453
mobley_2213823,-0.10000000000000009,0.6007495318350236
mobley_2245668,-1.37,0.6007495318350236
mobley_2261979,1.0500000000000003,0.6007495318350236
mobley_2269032,1.9899999999999984,0.18681541692269404
mobley_2279874,0.20000000000000018,0.6007495318350236
mobley_2294995,1.31,0.6003332407921453
mobley_2295058,0.27999999999999936,0.261725046566048
mobley_2310185,-1.6099999999999999,0.6003332407921453
mobley_2316618,-0.6100000000000012,1.101135777277262
mobley_2328633,0.16999999999999993,0.6007495318350236
mobley_2341732,0.9300000000000002,0.6007495318350236
mobley_2354112,-0.9800000000000004,0.6007495318350236
mobley_2364370,0.77,0.6007495318350236
mobley_2371092,-2.0199999999999996,0.6007495318350236
mobley_2390199,-0.21999999999999975,0.6007495318350236
mobley_2402487,0.7199999999999998,0.6007495318350236
mobley_2410897,-1.3399999999999999,0.6003332407921453
mobley_2422586,-1.06,0.6003332407921453
mobley_242480,3.4000000000000004,0.3522782990761707
mobley_2451097,-0.8599999999999994,0.6007495318350236
mobley_2457863,-0.6900000000000004,0.6013318551349163
mobley_2481002,-1.0699999999999998,0.10198039027185571
mobley_2484519,-0.18999999999999995,0.20223748416156687
mobley_2487143,-0.27,0.6007495318350236
mobley_2489709,-0.81,0.6007495318350236
mobley_2492140,-1.29,0.1044030650891055
mobley_2493732,-0.8600000000000001,0.6003332407921453
mobley_2501588,-0.4900000000000002,1.3705838172107536
mobley_2517158,-0.8799999999999999,0.6007495318350236
mobley_2518989,10.78,1.9312690128513945
mobley_2523689,-0.39000000000000057,1.9304144632694813
mobley_252413,0.18999999999999995,0.6007495318350236
mobley_2577969,2.2700000000000005,0.6013318551349163
mobley_2609604,-0.029999999999999805,0.6007495318350236
mobley_2613240,-1.2800000000000002,0.1044030650891055
mobley_2636578,0.5200000000000005,0.39115214431215894
mobley_2659552,-1.6799999999999997,0.20396078054371142
mobley_2661134,-1.9100000000000001,0.6007495318350236
mobley_2681549,-1.11,0.6007495318350236
mobley_2689721,-0.27,0.6003332407921453
mobley_2693089,0.45999999999999996,0.6007495318350236
mobley_2725215,3.2699999999999996,1.9306475597581243
mobley_2725802,-1.9700000000000006,0.6007495318350236
mobley_2727678,-0.9800000000000004,0.6407027391856539
mobley_2751110,-2.17,0.6007495318350236
mobley_2763835,0.029999999999999805,0.6007495318350236
mobley_2771569,0.40000000000000036,0.6007495318350236
mobley_2782339,2.210000000000001,0.5008991914547277
mobley_2784376,-1.73,0.6003332407921453
mobley_2789243,-1.2399999999999998,0.6007495318350236
mobley_2792521,-0.56,0.6007495318350236
mobley_2802855,-1.1,0.6003332407921453
mobley_282648,0.81,0.6007495318350236
mobley_2837389,-0.7700000000000005,0.6003332407921453
mobley_2844990,-1.1799999999999997,1.0007996802557444
mobley_2845466,-0.8300000000000001,1.0007996802557444
mobley_2850833,4.130000000000001,0.1044030650891055
mobley_2859600,-0.15999999999999992,0.6007495318350236
mobley_2864987,-1.4499999999999997,0.6007495318350236
mobley_2881590,-0.04999999999999982,0.1044030650891055
mobley_2913224,-0.5399999999999991,0.18439088914585774
mobley_2923700,-0.6799999999999997,0.6007495318350236
mobley_2925352,-0.5499999999999998,0.6007495318350236
mobley_2929847,2.75,0.6007495318350236
mobley_2958326,-1.42,0.6007495318350236
mobley_2960202,-1.83,1.0007996802557444
mobley_296847,-1.1800000000000006,0.6003332407921453
mobley_2972345,0.52,0.1077032961426901
mobley_2972906,-1.04,0.2009975124224178
mobley_299266,-1.1700000000000002,0.6003332407921453
mobley_2996632,-1.36,0.6003332407921453
mobley_3006808,-0.49999999999999956,0.6003332407921453
mobley_303222,-1.01,0.6003332407921453
mobley_3034976,0.5899999999999999,0.6003332407921453
mobley_3040612,-0.08999999999999997,0.1044030650891055
mobley_3047364,2.9000000000000004,0.4517742799230607
mobley_3053621,-0.08999999999999997,0.2009975124224178
mobley_3060426,-0.040000000000000036,0.6007495318350236
mobley_3083321,0.29000000000000004,0.20396078054371142
mobley_3105103,2.629999999999999,1.9304144632694813
mobley_313406,-1.5199999999999996,0.6003332407921453
mobley_3144334,-0.9000000000000004,0.6007495318350236
mobley_3151666,-1.19,0.6013318551349163
mobley_3167746,-0.20999999999999996,0.6007495318350236
mobley_3169935,-0.0600000000000005,0.6007495318350236
mobley_3183805,-0.05999999999999994,0.6007495318350236
mobley_3187514,-0.20000000000000018,0.6007495318350236
mobley_3201701,4.459999999999999,1.9304144632694813
mobley_3210206,0.7000000000000002,0.1077032961426901
mobley_3211679,-1.04,0.10198039027185571
mobley_3234716,-0.14,0.6007495318350236
mobley_3259411,-3.289999999999999,1.0007996802557444
mobley_3264884,0.5300000000000002,0.6007495318350236
mobley_3265457,0.5099999999999989,0.7723341245859852
mobley_3266352,2.04,0.6007495318350236
mobley_3269565,-1.3499999999999996,0.6003332407921453
mobley_3269819,-2.35,0.1077032961426901
mobley_3274817,-0.8500000000000005,1.9304144632694813
mobley_3318135,-0.28000000000000025,0.6007495318350236
mobley_3323117,1.0099999999999998,0.31144823004794875
mobley_3325209,1.5199999999999996,0.6013318551349163
mobley_3359593,-1.13,0.18681541692269404
mobley_3370989,-0.34,0.6003332407921453
mobley_337666,-0.5500000000000007,0.8805112151472008
mobley_3378420,-1.3199999999999998,0.6007495318350236
mobley_3398536,-0.6799999999999999,0.6007495318350236
mobley_3414356,-1.1400000000000001,0.6007495318350236
mobley_3425174,-0.6,0.6003332407921453
mobley_3452749,-0.32999999999999996,0.6007495318350236
mobley_349850,0.20999999999999996,0.6007495318350236
mobley_3515580,-1.1900000000000004,0.1077032961426901
mobley_352111,1.9499999999999993,0.6013318551349163
mobley_3525176,-0.14,0.6003332407921453
mobley_3546460,-1.4000000000000004,0.6007495318350236
mobley_3572203,0.07000000000000028,0.6007495318350236
mobley_3573480,-0.10000000000000009,0.6007495318350236
mobley_3589456,-0.9499999999999997,0.6007495318350236
mobley_36119,-1.4,0.6007495318350236
mobley_3639400,-1.15,0.6003332407921453
mobley_3663158,-0.2599999999999998,0.6007495318350236
mobley_3682850,-0.7300000000000004,0.6007495318350236
mobley_3686115,-1.4899999999999998,0.20396078054371142
mobley_3690931,0.4700000000000002,0.6007495318350236
mobley_3709920,-0.94,0.6007495318350236
mobley_3715043,0.26000000000000023,0.6007495318350236
mobley_3727287,0.45999999999999996,0.20223748416156687
mobley_3738859,-0.9199999999999999,0.20223748416156687
mobley_3746675,-0.59,0.6007495318350236
mobley_3761215,-0.7,0.6003332407921453
mobley_3762186,-1.35,0.6003332407921453
mobley_3775790,-0.52,0.6003332407921453
mobley_3777264,-0.6400000000000006,0.6007495318350236
mobley_3802803,-0.05999999999999983,0.10198039027185571
mobley_3843583,0.5,0.6007495318350236
mobley_3867265,-0.29000000000000004,0.6003332407921453
mobley_3968043,-0.81,0.6003332407921453
mobley_3968739,1.0,0.6007495318350236
mobley_3969312,1.04,0.6007495318350236
mobley_397645,0.9599999999999995,0.6007495318350236
mobley_3976574,-1.8400000000000003,1.0007996802557444
mobley_3980099,-0.73,0.6007495318350236
mobley_3982371,0.7000000000000002,0.6003332407921453
mobley_3999471,-1.03,0.6003332407921453
mobley_4013838,-0.11000000000000032,0.6007495318350236
mobley_4035953,-0.8200000000000003,0.20223748416156687
mobley_4039055,-0.870000000000001,0.5508175741568165
mobley_4043951,-0.8499999999999999,0.6003332407921453
mobley_4043987,0.040000000000000036,0.6007495318350236
mobley_4059279,0.29000000000000004,0.6007495318350236
mobley_4149784,-0.3500000000000001,0.12649110640673517
mobley_4177472,-0.10999999999999988,0.6007495318350236
mobley_4188615,-1.1799999999999997,0.6007495318350236
mobley_4193752,-0.6600000000000001,0.6007495318350236
mobley_4218209,-0.46000000000000085,0.6007495318350236
mobley_4219614,-1.04,0.6007495318350236
mobley_4252724,0.42000000000000004,0.6007495318350236
mobley_4287564,-1.13,0.6007495318350236
mobley_4291494,-0.5199999999999996,0.6007495318350236
mobley_430089,-0.45999999999999996,0.6003332407921453
mobley_4305650,-1.3499999999999996,0.6003332407921453
mobley_4338603,-0.6999999999999993,1.2203687967167958
mobley_4364398,-0.25,0.6003332407921453
mobley_4371692,1.450000000000001,0.28442925306655786
mobley_4375719,-0.0900000000000003,0.6007495318350236
mobley_4395315,-1.6500000000000004,0.6007495318350236
mobley_4434915,-1.31,0.6000833275470999
mobley_4463913,3.04,0.6007495318350236
mobley_4465023,-2.33,0.6003332407921453
mobley_4479135,-0.3099999999999996,0.1077032961426901
mobley_4483973,-0.76,0.6003332407921453
mobley_4494568,-0.4999999999999999,0.6007495318350236
mobley_4506634,-0.32,0.6003332407921453
mobley_4553008,-0.8200000000000001,0.6007495318350236
mobley_4561957,-0.13000000000000034,0.6007495318350236
mobley_4584540,-1.15,0.6007495318350236
mobley_4587267,-5.460000000000001,0.33241540277189324
mobley_4603202,-1.9800000000000004,0.20396078054371142
mobley_4609460,0.33999999999999986,0.3026549190084311
mobley_4613090,0.3700000000000001,0.12369316876852982
mobley_4620651,-0.49999999999999956,0.6007495318350236
mobley_4630641,-1.7399999999999998,0.6007495318350236
mobley_4639255,-2.030000000000001,0.6007495318350236
mobley_4678740,1.4100000000000001,0.20223748416156687
mobley_4683624,0.0,0.6906518659932802
mobley_4687447,-2.4600000000000004,0.6007495318350236
mobley_468867,-1.5799999999999998,0.1077032961426901
mobley_4690963,-0.1200000000000001,0.6013318551349163
mobley_4694328,0.2799999999999998,0.6007495318350236
mobley_4699732,-1.0,0.6007495318350236
mobley_4715906,-0.10999999999999988,0.6007495318350236
mobley_4759887,0.04000000000000001,0.6007495318350236
mobley_4762983,-1.0999999999999999,0.6007495318350236
mobley_4780078,-1.0299999999999994,0.6007495318350236
mobley_4792268,2.8900000000000006,0.6007495318350236
mobley_4845722,-2.71,1.1606894502837526
mobley_4850657,1.3499999999999996,0.6003332407921453
mobley_486214,0.4299999999999997,0.1077032961426901
mobley_4883284,0.04999999999999982,0.6007495318350236
mobley_4884177,-1.63,0.6007495318350236
mobley_4893032,-1.37,0.6003332407921453
mobley_4924862,1.2800000000000002,0.6007495318350236
mobley_49274,-0.040000000000000036,0.6007495318350236
mobley_4934872,-0.03000000000000025,0.6013318551349163
mobley_4936555,0.8899999999999997,0.1077032961426901
mobley_4964807,-0.6299999999999999,0.1044030650891055
mobley_4983965,-1.76,0.6003332407921453
mobley_5003962,2.360000000000001,0.29274562336608895
mobley_5006685,-0.5,0.1726267650163207
mobley_5026370,-0.2599999999999998,0.6007495318350236
mobley_5052949,-1.92,0.6007495318350236
mobley_5056289,-1.3199999999999998,0.6003332407921453
