ID,Experimental dGhydr (kcal/mol),uncertainty (kcal/mol)
mobley_1017962,-2.49,0.6
mobley_1019269,-4.72,0.6
mobley_1034539,-3.04,0.1
mobley_1036761,-4.59,0.6
mobley_1046331,-3.82,0.6
mobley_1075836,-2.93,0.6
mobley_1079207,-0.98,0.6
mobley_1107178,-0.74,0.6
mobley_1139153,2.89,0.6
mobley_1144156,-1.59,0.6
mobley_1160109,-3.75,0.21
mobley_1178614,-4.55,0.6
mobley_1189457,-2.73,0.6
mobley_1199854,-0.53,0.6
mobley_1231151,-0.25,0.6
mobley_1235151,-2.82,0.6
mobley_1244778,-5.48,0.6
mobley_1261349,2.51,0.6
mobley_1278715,-0.64,0.1
mobley_129464,-0.83,0.6
mobley_1323538,-7.5,0.2
mobley_1328465,-1.99,0.6
mobley_1328936,-6.88,0.6
mobley_1352110,-3.64,1.93
mobley_1363784,-4.84,0.6
mobley_1396156,-5.22,0.25
mobley_1417007,-9.01,1.93
mobley_1424265,-0.83,0.6
mobley_1449384,-0.68,0.6
mobley_1469079,-3.56,1.0
mobley_1502181,-2.49,0.6
mobley_1520842,-4.93,0.6
mobley_1527293,-8.42,0.16
mobley_1563176,-0.99,0.6
mobley_1571523,-6.16,0.6
mobley_1592519,-2.23,0.6
mobley_1615431,-0.53,0.6
mobley_1636752,-5.1,0.6
mobley_1650157,-4.47,0.6
mobley_1659169,-7.17,0.6
mobley_1662128,1.38,0.6
mobley_1674094,0.29,0.6
mobley_1708457,-10.08,0.6
mobley_1717215,-2.78,0.6
mobley_1722522,-2.49,0.6
mobley_1723043,3.43,0.03
mobley_1728386,-11.0,0.2
mobley_1733799,-5.85,0.83
mobley_1735893,-6.21,0.6
mobley_1743409,-5.71,0.6
mobley_1755375,-5.26,0.6
mobley_1760914,-1.14,0.6
mobley_1770205,-10.03,1.37
mobley_1781152,-2.4,0.6
mobley_1792062,-2.33,0.6
mobley_1800170,-1.14,0.6
mobley_1803862,2.38,0.6
mobley_1821184,-5.88,0.6
mobley_1827204,-2.81,0.6
mobley_1838110,1.77,0.6
mobley_1849020,-6.5,0.83
mobley_1855337,-1.62,0.6
mobley_1857976,-1.79,0.6
mobley_1858644,-6.79,0.6
mobley_186894,-1.1,0.2
mobley_1873346,-0.9,0.2
mobley_1875719,-3.41,0.2
mobley_1881249,-3.52,0.6
mobley_1893815,-1.43,0.1
mobley_1893937,0.0,0.6
mobley_1896013,-20.52,0.27
mobley_1899443,1.47,0.6
mobley_1903702,-4.62,0.6
mobley_1905088,-2.38,0.2
mobley_1922649,-7.19,0.1
mobley_1923244,2.1,0.2
mobley_1929982,-0.7,0.6
mobley_194273,-9.73,1.93
mobley_1944394,-9.34,0.62
mobley_1952272,-4.02,0.6
mobley_1963873,-10.0,0.6
mobley_1967551,-3.5,0.6
mobley_197466,-4.61,0.6
mobley_1976156,-2.07,0.6
mobley_1977493,-0.33,0.6
mobley_1987439,-0.9,0.6
mobley_2005792,-2.7,0.2
mobley_2008055,1.83,0.6
mobley_2023925,0.1,0.6
mobley_2043882,-3.9,0.6
mobley_2049967,-1.5,0.2
mobley_20524,-6.6,0.2
mobley_2068538,2.0,0.2
mobley_2078467,-7.0,0.64
mobley_2099370,-10.78,0.18
mobley_210639,-0.46,0.6
mobley_2123854,-10.17,0.6
mobley_2126135,-5.66,0.1
mobley_2143011,1.83,0.6
mobley_2146331,-2.75,0.6
mobley_2178600,-0.1,0.2
mobley_2183616,-0.45,0.6
mobley_2197088,3.16,0.6
mobley_2198613,-0.63,0.6
mobley_2213823,2.51,0.6
mobley_2245668,-4.5,0.6
mobley_2261979,-3.15,0.6
mobley_2269032,-10.21,0.18
mobley_2279874,-4.42,0.6
mobley_2294995,-2.56,0.6
mobley_2295058,-9.51,0.26
mobley_2310185,-5.0,0.6
mobley_2316618,-14.21,1.1
mobley_2328633,2.55,0.6
mobley_2341732,-2.56,0.6
mobley_2354112,-6.25,0.6
mobley_2364370,-2.64,0.6
mobley_2371092,-5.22,0.6
mobley_2390199,-2.92,0.6
mobley_2402487,-6.0,0.6
mobley_2410897,-4.5,0.6
mobley_2422586,-1.66,0.6
mobley_242480,-11.85,0.35
mobley_2451097,-4.1,0.6
mobley_2457863,-7.66,0.6
mobley_2481002,-1.45,0.1
mobley_2484519,-1.93,0.2
mobley_2487143,-3.28,0.6
mobley_2489709,-1.36,0.6
mobley_2492140,-1.23,0.1
mobley_2493732,0.25,0.6
mobley_2501588,-2.45,1.37
mobley_2517158,0.34,0.6
mobley_2518989,-5.74,1.93
mobley_2523689,-16.43,1.93
mobley_252413,2.88,0.6
mobley_2577969,-4.52,0.6
mobley_2609604,2.56,0.6
mobley_2613240,-5.33,0.1
mobley_2636578,-4.8,0.39
mobley_2659552,-9.76,0.2
mobley_2661134,-9.65,0.6
mobley_2681549,-0.78,0.6
mobley_2689721,1.23,0.6
mobley_2693089,-5.04,0.6
mobley_2725215,-7.98,1.93
mobley_2725802,-9.8,0.6
mobley_2727678,-18.72,0.64
mobley_2751110,-10.64,0.6
mobley_2763835,-2.22,0.6
mobley_2771569,-7.77,0.6
mobley_2782339,-9.61,0.5
mobley_2784376,0.75,0.6
mobley_2789243,-4.01,0.6
mobley_2792521,-3.68,0.6
mobley_2802855,-0.4,0.6
mobley_282648,-2.4,0.6
mobley_2837389,-4.78,0.6
mobley_2844990,-3.84,1.0
mobley_2845466,-3.37,1.0
mobley_2850833,-4.68,0.1
mobley_2859600,-1.24,0.6
mobley_2864987,-4.39,0.6
mobley_2881590,-1.88,0.1
mobley_2913224,-9.94,0.18
mobley_2923700,-6.13,0.6
mobley_2925352,-6.13,0.6
mobley_2929847,-6.09,0.6
mobley_2958326,-3.65,0.6
mobley_2960202,-3.71,1.0
mobley_296847,-4.69,0.6
mobley_2972345,-3.78,0.1
mobley_2972906,-1.4,0.2
mobley_299266,1.16,0.6
mobley_2996632,-1.08,0.6
mobley_3006808,-4.31,0.6
mobley_303222,1.32,0.6
mobley_3034976,-6.69,0.6
mobley_3040612,-0.85,0.1
mobley_3047364,-7.65,0.45
mobley_3053621,-0.9,0.2
mobley_3060426,2.93,0.6
mobley_3083321,-2.93,0.2
mobley_3105103,-11.14,1.93
mobley_313406,-4.85,0.6
mobley_3144334,-5.91,0.6
mobley_3151666,-3.64,0.6
mobley_3167746,2.88,0.6
mobley_3169935,-4.91,0.6
mobley_3183805,-0.86,0.6
mobley_3187514,-5.53,0.6
mobley_3201701,-9.41,1.93
mobley_3210206,-4.95,0.1
mobley_3211679,0.14,0.1
mobley_3234716,-0.8,0.6
mobley_3259411,-13.43,1.0
mobley_3264884,-7.47,0.6
mobley_3265457,-7.78,0.77
mobley_3266352,-1.92,0.6
mobley_3269565,-2.01,0.6
mobley_3269819,-3.17,0.1
mobley_3274817,-6.23,1.93
mobley_3318135,-2.64,0.6
mobley_3323117,-8.61,0.31
mobley_3325209,-4.04,0.6
mobley_3359593,-5.26,0.18
mobley_3370989,-0.11,0.6
mobley_337666,-16.92,0.88
mobley_3378420,-3.88,0.6
mobley_3398536,-1.74,0.6
mobley_3414356,-3.92,0.6
mobley_3425174,-0.77,0.6
mobley_3452749,-1.21,0.6
mobley_349850,-4.7,0.6
mobley_3515580,-5.94,0.1
mobley_352111,-6.34,0.6
mobley_3525176,-0.23,0.6
mobley_3546460,-4.4,0.6
mobley_3572203,-2.11,0.6
mobley_3573480,-3.04,0.6
mobley_3589456,-4.59,0.6
mobley_36119,-4.09,0.6
mobley_3639400,-0.16,0.6
mobley_3663158,-8.11,0.6
mobley_3682850,-4.91,0.6
mobley_3686115,-3.28,0.2
mobley_3690931,-2.28,0.6
mobley_3709920,2.06,0.6
mobley_3715043,-2.82,0.6
mobley_3727287,-6.5,0.2
mobley_3738859,-0.1,0.2
mobley_3746675,-1.24,0.6
mobley_3761215,-0.19,0.6
mobley_3762186,-1.31,0.6
mobley_3775790,-2.89,0.6
mobley_3777264,-8.84,0.6
mobley_3802803,-1.66,0.1
mobley_3843583,-7.28,0.6
mobley_3867265,-3.8,0.6
mobley_3968043,-4.7,0.6
mobley_3968739,-3.92,0.6
mobley_3969312,-4.02,0.6
mobley_397645,-3.64,0.6
mobley_3976574,-4.15,1.0
mobley_3980099,-1.24,0.6
mobley_3982371,-3.13,0.6
mobley_3999471,-0.84,0.6
mobley_4013838,-2.74,0.6
mobley_4035953,-5.9,0.2
mobley_4039055,-18.17,0.55
mobley_4043951,1.68,0.6
mobley_4043987,2.93,0.6
mobley_4059279,-7.58,0.6
mobley_4149784,-3.67,0.12
mobley_4177472,2.56,0.6
mobley_4188615,-9.29,0.6
mobley_4193752,-4.12,0.6
mobley_4218209,-7.48,0.6
mobley_4219614,-1.34,0.6
mobley_4252724,0.16,0.6
mobley_4287564,-4.63,0.6
mobley_4291494,-4.39,0.6
mobley_430089,0.01,0.6
mobley_4305650,-3.84,0.6
mobley_4338603,-15.83,1.22
mobley_4364398,-0.89,0.6
mobley_4371692,-9.53,0.28
mobley_4375719,3.13,0.6
mobley_4395315,-6.79,0.6
mobley_4434915,-0.55,0.6
mobley_4463913,-4.97,0.6
mobley_4465023,-1.17,0.6
mobley_4479135,-2.78,0.1
mobley_4483973,-0.8,0.6
mobley_4494568,-1.39,0.6
mobley_4506634,-0.11,0.6
mobley_4553008,-1.01,0.6
mobley_4561957,2.34,0.6
mobley_4584540,-4.59,0.6
mobley_4587267,-23.62,0.32
mobley_4603202,-4.23,0.2
mobley_4609460,-9.2,0.3
mobley_4613090,-7.63,0.12
mobley_4620651,-4.1,0.6
mobley_4630641,-4.84,0.6
mobley_4639255,-9.3,0.6
mobley_4678740,1.07,0.2
mobley_4683624,-5.21,0.69
mobley_4687447,-6.4,0.6
mobley_468867,-2.55,0.1
mobley_4690963,-3.54,0.6
mobley_4694328,-2.29,0.6
mobley_4699732,-1.27,0.6
mobley_4715906,1.58,0.6
mobley_4759887,0.27,0.6
mobley_4762983,1.66,0.6
mobley_4780078,-6.01,0.6
mobley_4792268,-6.16,0.6
mobley_4845722,-2.33,1.16
mobley_4850657,-4.87,0.6
mobley_486214,-6.96,0.1
mobley_4883284,-5.49,0.6
mobley_4884177,-4.59,0.6
mobley_4893032,-3.52,0.6
mobley_4924862,-2.13,0.6
mobley_49274,0.6,0.6
mobley_4934872,-5.23,0.6
mobley_4936555,-6.78,0.1
mobley_4964807,-5.99,0.1
mobley_4983965,-1.46,0.6
mobley_5003962,-11.53,0.29
mobley_5006685,-4.09,0.17
mobley_5026370,-6.02,0.6
mobley_5052949,-1.28,0.6
mobley_5056289,-3.3,0.6
mobley_5063386,-4.58,0.6
mobley_5072416,-6.12,0.6
mobley_5076071,-5.66,1.93
mobley_5079234,-4.21,0.6
mobley_5094777,-1.46,0.6
mobley_5110043,-2.63,0.6
mobley_511661,0.56,0.2
mobley_5123639,-3.73,0.6
mobley_5157661,2.3,0.2
mobley_5200358,-9.84,0.1
mobley_5220185,-5.45,0.6
mobley_525934,-1.2,0.2
mobley_5263791,-2.4,0.6
mobley_52782,-5.73,0.1
mobley_5282042,-7.43,0.6
mobley_5286200,-2.32,0.6
mobley_5310099,1.58,0.6
mobley_5311804,-6.62,0.6
mobley_5326154,-3.45,0.6
mobley_5346580,-3.11,0.6
mobley_5347550,-1.12,0.6
mobley_5371840,-3.1,0.1
mobley_5390332,-2.83,0.6
mobley_5393242,-6.48,0.13
mobley_5445548,-0.3,0.6
mobley_5449201,2.3,0.2
mobley_5456566,-2.98,1.0
mobley_5467162,-5.91,0.6
mobley_5471704,-2.21,0.6
mobley_547634,-2.78,0.6
mobley_5494918,2.93,0.6
mobley_5499659,-8.41,0.6
mobley_550662,-4.42,0.6
mobley_5510474,-3.81,0.14
mobley_5518547,-5.57,0.6
mobley_5520946,-2.55,0.6
mobley_5538249,-2.16,0.1
mobley_5561855,-1.96,0.1
mobley_5571660,-5.21,0.6
mobley_5600967,-11.01,0.6
mobley_5616693,-2.53,0.25
mobley_5627459,-2.86,0.6
mobley_5631798,-4.29,0.6
mobley_5665561,-2.47,0.6
mobley_5690766,1.01,0.6
mobley_5692472,-4.29,0.6
mobley_5708811,-9.86,1.93
mobley_5732611,-10.27,0.6
mobley_5747188,-3.58,0.6
mobley_5747981,-5.73,0.6
mobley_5759258,-4.57,0.6
mobley_5760563,-5.1,0.6
mobley_5816127,-6.62,0.4
mobley_5852491,1.59,0.6
mobley_5857,-5.72,0.6
mobley_5880265,-6.25,0.6
mobley_588781,-0.04,0.6
mobley_5890803,-2.44,0.6
mobley_590519,-1.64,0.6
mobley_5917842,-5.8,0.1
mobley_5935995,2.51,0.6
mobley_5948990,-7.37,0.6
mobley_5952846,0.1,0.6
mobley_5973402,-4.42,0.6
mobley_5977084,-4.77,0.6
mobley_6006813,-3.09,0.6
mobley_6055410,-9.4,0.2
mobley_6060301,-3.95,0.6
mobley_6081058,-3.43,0.6
mobley_6082662,-9.82,0.1
mobley_6091882,1.28,0.6
mobley_6102880,-2.87,0.69
mobley_6115639,-8.7,0.1
mobley_6175884,-4.27,0.6
mobley_6190089,-2.37,0.1
mobley_6195751,-8.68,0.76
mobley_6198745,-8.84,0.2
mobley_6201330,-9.37,0.22
mobley_6232400,-7.1,0.6
mobley_6235784,0.0,0.6
mobley_6239320,-18.06,0.27
mobley_6248915,-3.65,0.6
mobley_6250025,0.08,0.6
mobley_6257907,-5.82,0.6
mobley_6266306,-5.56,0.6
mobley_627267,-0.03,0.6
mobley_628086,-4.16,0.6
mobley_628951,-2.28,0.12
mobley_6303022,-4.73,0.6
mobley_632905,-4.4,0.6
mobley_6334915,-12.74,1.93
mobley_6338073,-6.68,0.42
mobley_6353617,-8.26,0.6
mobley_6358463,1.07,0.6
mobley_6359135,0.08,0.6
mobley_6359156,-2.46,0.1
mobley_63712,-3.88,0.6
mobley_6416775,2.13,0.6
mobley_6430250,-0.53,0.6
mobley_6456034,-1.69,0.6
mobley_646007,-5.48,0.6
mobley_6474572,-0.59,0.6
mobley_6497672,-4.22,0.6
mobley_6522117,-7.07,1.37
mobley_6571751,0.67,0.6
mobley_6619554,-2.49,0.6
mobley_6620221,-9.61,0.3
mobley_6632459,-3.43,0.6
mobley_664966,-2.49,0.6
mobley_667278,-4.4,0.1
mobley_6688723,-6.44,0.38
mobley_6714389,-4.55,0.6
mobley_6727159,-8.18,0.1
mobley_6733657,-3.44,0.1
mobley_6743808,-6.5,0.6
mobley_676247,3.12,0.6
mobley_6794076,-7.62,0.6
mobley_6804509,-1.34,0.6
mobley_6812653,2.48,0.6
mobley_6843802,-1.29,0.6
mobley_6854178,-2.02,0.6
mobley_6861308,-9.13,1.93
mobley_6896128,2.97,0.6
mobley_6911232,-2.1,0.6
mobley_6917738,-6.55,0.6
mobley_6929123,-4.0,0.6
mobley_6935906,-2.49,0.85
mobley_6973347,-2.94,0.6
mobley_6978427,-3.3,0.6
mobley_6981465,-2.64,0.6
mobley_6988468,-4.33,0.6
mobley_7009711,-6.27,0.6
mobley_7010316,-5.46,0.6
mobley_7015518,-1.91,0.6
mobley_7017274,-3.88,0.6
mobley_7039935,-7.67,0.6
mobley_7047032,1.09,0.6
mobley_7066554,-7.03,0.6
mobley_7099614,-0.57,0.6
mobley_7106722,2.51,0.6
mobley_7142697,-4.09,0.6
mobley_7150646,-2.3,0.6
mobley_7157427,0.29,0.6
mobley_7176248,-3.25,0.1
mobley_7176290,-9.62,0.6
mobley_718988,-3.79,0.6
mobley_7200804,-5.29,0.6
mobley_7203421,-9.31,0.6
mobley_7227357,-4.35,0.6
mobley_7239499,-3.52,0.1
mobley_7261305,-9.3,0.6
mobley_7295828,-2.45,0.6
mobley_7298388,-3.45,0.6
mobley_7326706,-5.04,0.21
mobley_7326982,-4.74,0.6
mobley_7360181,-0.8,0.2
mobley_7364468,-5.18,1.37
mobley_7375018,-2.15,0.6
mobley_7378987,-12.64,0.74
mobley_7393673,-5.33,0.6
mobley_7415647,-11.95,0.6
mobley_7417968,-5.31,0.1
mobley_7455579,-2.22,0.6
mobley_7463408,-7.78,1.93
mobley_7463799,-6.92,0.6
mobley_7497999,-4.58,0.6
mobley_7532833,-3.88,0.6
mobley_7542832,-1.16,0.6
mobley_755351,-7.29,0.6
mobley_7573149,-2.79,0.6
mobley_7578802,-2.13,0.6
mobley_7599023,-1.46,0.6
mobley_7608435,-2.04,0.6
mobley_7608462,-1.12,0.6
mobley_7610437,-3.88,0.6
mobley_766666,-0.44,0.6
mobley_7676709,-4.51,0.1
mobley_7688753,-9.52,1.9
mobley_7690440,-1.83,0.6
mobley_7708038,-0.56,0.6
mobley_7732703,1.79,0.6
mobley_7735340,-9.63,0.6
mobley_7754849,-6.1,1.37
mobley_7758918,-6.46,0.6
mobley_7768165,-1.95,0.6
mobley_7769613,0.84,0.6
mobley_7774695,-4.69,0.6
mobley_778352,1.31,0.6
mobley_7794077,-15.46,0.16
mobley_7814642,-1.12,0.6
mobley_7829570,-3.51,1.93
mobley_7859387,-2.67,0.6
mobley_7860938,-3.24,0.6
mobley_7869158,-1.82,0.1
mobley_7893124,-0.44,0.6
mobley_7912193,-8.72,0.27
mobley_7913234,-5.73,0.15
mobley_7943327,-2.68,0.6
mobley_7977115,-4.06,0.6
mobley_7983227,-4.42,0.6
mobley_7988076,-8.83,0.6
mobley_8006582,1.2,0.6
mobley_8011706,-7.81,0.6
mobley_8048190,-9.71,0.6
mobley_8052240,-9.44,0.74
mobley_8057732,-6.62,0.6
mobley_8117218,-4.82,0.1
mobley_8118832,-5.03,0.6
mobley_8124669,-8.21,0.29
mobley_8127829,-0.79,0.6
mobley_819018,-4.45,0.24
mobley_8191186,0.06,0.6
mobley_8207196,-10.22,0.1
mobley_820789,-6.35,0.6
mobley_8208692,-4.61,0.25
mobley_8221999,-3.64,0.6
mobley_8260524,-0.48,0.6
mobley_8311303,-4.38,0.22
mobley_8311321,-0.5,0.6
mobley_8320545,-3.71,0.6
mobley_8337722,-3.2,0.28
mobley_8337977,-3.05,0.6
mobley_8426916,-4.07,0.6
mobley_8427539,-9.4,0.2
mobley_8436428,2.83,0.6
mobley_8449031,-3.22,0.6
mobley_8467917,1.68,0.6
mobley_8492526,-3.03,0.6
mobley_8514745,-2.51,0.6
mobley_8522124,0.71,0.6
mobley_8525830,-0.14,0.6
mobley_852937,-6.19,0.6
mobley_8558116,-6.32,0.6
mobley_8573194,-3.18,0.6
mobley_8578590,-9.28,0.57
mobley_859464,-2.36,0.6
mobley_8614858,2.67,0.6
mobley_8668219,2.52,0.6
mobley_8685905,0.5,0.6
mobley_8691603,-5.49,0.6
mobley_8705848,-3.22,0.6
mobley_8713762,-4.13,1.36
mobley_8723116,-5.9,0.6
mobley_8739734,-3.24,0.6
mobley_8746821,-4.82,0.6
mobley_8754702,-2.48,0.6
mobley_8764620,-6.75,0.6
mobley_8765203,0.68,0.6
mobley_8772587,-0.25,0.6
mobley_8785107,-2.92,0.6
mobley_8789465,-6.2,0.6
mobley_8789864,-6.4,0.6
mobley_8798016,-7.0,0.6
mobley_8809190,-0.4,0.6
mobley_8809274,-0.25,0.6
mobley_8823527,-3.61,0.13
mobley_8827942,-4.05,0.1
mobley_8861672,-4.86,0.6
mobley_8882696,-3.47,0.6
mobley_8883511,-3.93,0.1
mobley_8885088,0.56,0.6
mobley_8899867,-5.49,0.6
mobley_8916409,-8.15,0.21
mobley_8966374,-5.51,0.6
mobley_8983100,-0.82,0.6
mobley_900088,0.4,0.6
mobley_9007496,-9.45,0.1
mobley_9015240,0.52,0.6
mobley_9028462,-1.1,0.6
mobley_902954,-2.09,0.1
mobley_9029594,-0.22,0.6
mobley_9055303,2.0,0.2
mobley_9073553,-1.61,0.6
mobley_9100956,1.7,0.6
mobley_9112978,1.31,0.6
mobley_9114381,-6.72,0.6
mobley_9121449,-0.16,0.6
mobley_9139060,2.11,0.6
mobley_9185328,-4.39,0.6
mobley_9197172,1.92,0.6
mobley_9201263,-4.87,0.6
mobley_9209581,-3.2,0.6
mobley_9246215,0.93,0.6
mobley_9246351,-1.96,0.6
mobley_9257453,-7.29,0.1
mobley_9281946,-6.74,0.1
mobley_929676,0.18,0.6
mobley_9407874,-2.88,0.6
mobley_9414831,-2.44,0.6
mobley_9434451,-0.48,0.6
mobley_9460824,-4.37,0.1
mobley_9478823,-0.9,0.6
mobley_9507933,-4.72,0.6
mobley_9510785,-3.48,1.0
mobley_951560,-7.4,0.6
mobley_9534740,-25.47,0.22
mobley_9557440,-17.74,0.78
mobley_9565165,-3.35,0.6
mobley_9571888,-4.23,0.26
mobley_9617923,-2.34,0.6
mobley_9624458,-1.89,0.6
mobley_9626434,-6.69,0.6
mobley_9653690,-4.44,0.43
mobley_967099,-3.13,0.6
mobley_9671033,-3.34,0.6
mobley_9705941,-1.38,0.6
mobley_9717937,-2.69,0.1
mobley_9729792,-0.99,0.6
mobley_9733743,-4.24,0.6
mobley_9740891,-4.71,1.93
mobley_9741965,-4.29,0.39
mobley_9794857,-2.21,0.6
mobley_9821936,-4.53,1.0
mobley_9838013,-4.43,0.6
mobley_9883303,2.71,0.6
mobley_9897248,-4.78,0.25
mobley_9913368,-0.78,0.6
mobley_9942801,-0.95,0.6
mobley_994483,-0.74,0.6
mobley_9974966,-1.21,0.6
mobley_9979854,-4.2,0.2
